input num : 0.0, bin_trans num : 0
input num : -0.55653, bin_trans num : -0.5546875
input num : -0.55908, bin_trans num : -0.5546875
input num : -0.56163, bin_trans num : -0.5546875
input num : -0.56417, bin_trans num : -0.5625
input num : -0.5667, bin_trans num : -0.5625
input num : -0.56923, bin_trans num : -0.5625
input num : -0.57176, bin_trans num : -0.5703125
input num : -0.57428, bin_trans num : -0.5703125
input num : -0.57679, bin_trans num : -0.5703125
input num : -0.5793, bin_trans num : -0.578125
input num : -0.5818, bin_trans num : -0.578125
input num : -0.5843, bin_trans num : -0.578125
input num : -0.58679, bin_trans num : -0.5859375
input num : -0.58928, bin_trans num : -0.5859375
input num : -0.59176, bin_trans num : -0.5859375
input num : -0.59423, bin_trans num : -0.59375
input num : -0.5967, bin_trans num : -0.59375
input num : -0.59917, bin_trans num : -0.59375
input num : -0.60162, bin_trans num : -0.6015625
input num : -0.60408, bin_trans num : -0.6015625
input num : -0.60652, bin_trans num : -0.6015625
input num : -0.60896, bin_trans num : -0.6015625
input num : -0.6114, bin_trans num : -0.609375
input num : -0.61383, bin_trans num : -0.609375
input num : -0.61625, bin_trans num : -0.609375
input num : -0.61867, bin_trans num : -0.6171875
input num : -0.62108, bin_trans num : -0.6171875
input num : -0.62349, bin_trans num : -0.6171875
input num : -0.62589, bin_trans num : -0.625
input num : -0.62828, bin_trans num : -0.625
input num : -0.63067, bin_trans num : -0.625
input num : -0.63306, bin_trans num : -0.6328125
input num : -0.63543, bin_trans num : -0.6328125
input num : -0.6378, bin_trans num : -0.6328125
input num : -0.64017, bin_trans num : -0.6328125
input num : -0.64253, bin_trans num : -0.640625
input num : -0.64488, bin_trans num : -0.640625
input num : -0.64722, bin_trans num : -0.640625
input num : -0.64956, bin_trans num : -0.6484375
input num : -0.6519, bin_trans num : -0.6484375
input num : -0.65423, bin_trans num : -0.6484375
input num : -0.65655, bin_trans num : -0.65625
input num : -0.65886, bin_trans num : -0.65625
input num : -0.66117, bin_trans num : -0.65625
input num : -0.66348, bin_trans num : -0.65625
input num : -0.66577, bin_trans num : -0.6640625
input num : -0.66806, bin_trans num : -0.6640625
input num : -0.67035, bin_trans num : -0.6640625
input num : -0.67263, bin_trans num : -0.671875
input num : -0.6749, bin_trans num : -0.671875
input num : -0.67716, bin_trans num : -0.671875
input num : -0.67942, bin_trans num : -0.671875
input num : -0.68167, bin_trans num : -0.6796875
input num : -0.68392, bin_trans num : -0.6796875
input num : -0.68616, bin_trans num : -0.6796875
input num : -0.68839, bin_trans num : -0.6875
input num : -0.69062, bin_trans num : -0.6875
input num : -0.69284, bin_trans num : -0.6875
input num : -0.69505, bin_trans num : -0.6875
input num : -0.69726, bin_trans num : -0.6953125
input num : -0.69946, bin_trans num : -0.6953125
input num : -0.70165, bin_trans num : -0.6953125
input num : -0.70384, bin_trans num : -0.703125
input num : -0.70602, bin_trans num : -0.703125
input num : -0.70819, bin_trans num : -0.703125
input num : -0.71036, bin_trans num : -0.703125
input num : -0.71252, bin_trans num : -0.7109375
input num : -0.71467, bin_trans num : -0.7109375
input num : -0.71682, bin_trans num : -0.7109375
input num : -0.71896, bin_trans num : -0.71875
input num : -0.72109, bin_trans num : -0.71875
input num : -0.72322, bin_trans num : -0.71875
input num : -0.72534, bin_trans num : -0.71875
input num : -0.72745, bin_trans num : -0.7265625
input num : -0.72956, bin_trans num : -0.7265625
input num : -0.73166, bin_trans num : -0.7265625
input num : -0.73375, bin_trans num : -0.7265625
input num : -0.73583, bin_trans num : -0.734375
input num : -0.73791, bin_trans num : -0.734375
input num : -0.73998, bin_trans num : -0.734375
input num : -0.74205, bin_trans num : -0.734375
input num : -0.7441, bin_trans num : -0.7421875
input num : -0.74615, bin_trans num : -0.7421875
input num : -0.7482, bin_trans num : -0.7421875
input num : -0.75023, bin_trans num : -0.75
input num : -0.75226, bin_trans num : -0.75
input num : -0.75428, bin_trans num : -0.75
input num : -0.7563, bin_trans num : -0.75
input num : -0.75831, bin_trans num : -0.7578125
input num : -0.76031, bin_trans num : -0.7578125
input num : -0.7623, bin_trans num : -0.7578125
input num : -0.76429, bin_trans num : -0.7578125
input num : -0.76626, bin_trans num : -0.765625
input num : -0.76824, bin_trans num : -0.765625
input num : -0.7702, bin_trans num : -0.765625
